commune_id,commune_name,quartier_id,quartier_name,adresse_id,adresse_name,type_collecte,jour,type_semaine
1,FORT-DE-FRANCE,1,BALATA,3,Absalon,Ordures ménagères (bac gris),Mercredi,
1,FORT-DE-FRANCE,1,BALATA,3,Absalon,Ordures ménagères (bac gris),Samedi,
1,FORT-DE-FRANCE,1,BALATA,3,Absalon,"Encombrants, déchets verts, DEEE (électroménagers)",Jeudi,Impaire
1,FORT-DE-FRANCE,1,BALATA,3,Absalon,Emballages (bac jaune),Mardi,Impaire
1,FORT-DE-FRANCE,1,BALATA,25,Lotissement les Hibiscus,Ordures ménagères (bac gris),Mardi,
1,FORT-DE-FRANCE,1,BALATA,25,Lotissement les Hibiscus,Ordures ménagères (bac gris),Jeudi,
1,FORT-DE-FRANCE,1,BALATA,25,Lotissement les Hibiscus,Ordures ménagères (bac gris),Samedi,
1,FORT-DE-FRANCE,1,BALATA,25,Lotissement les Hibiscus,"Encombrants, déchets verts, DEEE (électroménagers)",Jeudi,Impaire
1,FORT-DE-FRANCE,1,BALATA,25,Lotissement les Hibiscus,Emballages (bac jaune),Lundi,Paire
1,FORT-DE-FRANCE,1,BALATA,26,Chemins face à Etilé,Ordures ménagères (bac gris),Mardi,
1,FORT-DE-FRANCE,1,BALATA,26,Chemins face à Etilé,Ordures ménagères (bac gris),Vendredi,
1,FORT-DE-FRANCE,1,BALATA,26,Chemins face à Etilé,"Encombrants, déchets verts, DEEE (électroménagers)",Mercredi,Impaire
1,FORT-DE-FRANCE,1,BALATA,26,Chemins face à Etilé,Emballages (bac jaune),Lundi,Paire
1,FORT-DE-FRANCE,1,BALATA,27,Chemin Jules Beaunes,Ordures ménagères (bac gris),Mercredi,
1,FORT-DE-FRANCE,1,BALATA,27,Chemin Jules Beaunes,Ordures ménagères (bac gris),Samedi,
1,FORT-DE-FRANCE,1,BALATA,27,Chemin Jules Beaunes,"Encombrants, déchets verts, DEEE (électroménagers)",Mercredi,Impaire
1,FORT-DE-FRANCE,1,BALATA,27,Chemin Jules Beaunes,Emballages (bac jaune),Lundi,Paire
